sku_id,week_start,units_sold,forecast_naive
SKU00001,2025-04-21,48,53.0
SKU00001,2025-04-28,30,61.0
SKU00001,2025-05-05,64,75.0
SKU00001,2025-05-12,27,52.0
SKU00001,2025-05-19,82,59.0
SKU00001,2025-05-26,40,76.0
SKU00001,2025-06-02,70,68.0
SKU00001,2025-06-09,75,53.0
SKU00001,2025-06-16,35,60.0
SKU00001,2025-06-23,30,64.0
SKU00001,2025-06-30,74,44.0
SKU00001,2025-07-07,50,54.0
SKU00001,2025-07-14,60,42.0
SKU00001,2025-07-21,42,61.0
SKU00001,2025-07-28,56,88.0
SKU00001,2025-08-04,55,52.0
SKU00001,2025-08-11,55,51.0
SKU00001,2025-08-18,86,87.0
SKU00001,2025-08-25,75,33.0
SKU00001,2025-09-01,48,59.0
SKU00001,2025-09-08,90,39.0
SKU00001,2025-09-15,58,59.0
SKU00001,2025-09-22,54,25.0
SKU00001,2025-09-29,40,97.0
SKU00001,2025-10-06,21,71.0
SKU00001,2025-10-13,57,80.0
SKU00001,2025-10-20,38,25.0
SKU00001,2025-10-27,66,43.0
SKU00001,2025-11-03,86,86.0
SKU00001,2025-11-10,89,61.0
SKU00001,2025-11-17,85,108.0
SKU00001,2025-11-24,96,72.0
SKU00001,2025-12-01,70,63.0
SKU00001,2025-12-08,122,102.0
SKU00001,2025-12-15,69,124.0
SKU00001,2025-12-22,105,82.0
SKU00001,2025-12-29,9,76.0
SKU00002,2024-01-01,59,
SKU00002,2024-01-08,68,
SKU00002,2024-01-15,54,
SKU00002,2024-01-22,62,
SKU00002,2024-01-29,60,
SKU00002,2024-02-05,38,
SKU00002,2024-02-12,45,
SKU00002,2024-02-19,14,
SKU00002,2024-02-26,61,
SKU00002,2024-03-04,41,
SKU00002,2024-03-11,45,
SKU00002,2024-03-18,73,
SKU00002,2024-03-25,37,
SKU00002,2024-04-01,74,
SKU00002,2024-04-08,56,
SKU00002,2024-04-15,47,
SKU00002,2024-04-22,49,
SKU00002,2024-04-29,82,
SKU00002,2024-05-06,26,
SKU00002,2024-05-13,56,
SKU00002,2024-05-20,90,
SKU00002,2024-05-27,50,
SKU00002,2024-06-03,51,
SKU00002,2024-06-10,56,
SKU00002,2024-06-17,76,
SKU00002,2024-06-24,76,
SKU00002,2024-07-01,53,
SKU00002,2024-07-08,42,
SKU00002,2024-07-15,59,
SKU00002,2024-07-22,54,
SKU00002,2024-07-29,73,
SKU00002,2024-08-05,81,
SKU00002,2024-08-12,55,
SKU00002,2024-08-19,61,
SKU00002,2024-08-26,66,
SKU00002,2024-09-02,59,
SKU00002,2024-09-09,18,
SKU00002,2024-09-16,61,
SKU00002,2024-09-23,79,
SKU00002,2024-09-30,59,
SKU00002,2024-10-07,40,
SKU00002,2024-10-14,52,
SKU00002,2024-10-21,60,
SKU00002,2024-10-28,92,
SKU00002,2024-11-04,70,
SKU00002,2024-11-11,111,
SKU00002,2024-11-18,91,
SKU00002,2024-11-25,61,
SKU00002,2024-12-02,69,
SKU00002,2024-12-09,95,
SKU00002,2024-12-16,83,
SKU00002,2024-12-23,74,
SKU00002,2024-12-30,44,59.0
SKU00002,2025-01-06,58,68.0
SKU00002,2025-01-13,28,54.0
SKU00002,2025-01-20,40,62.0
SKU00002,2025-01-27,39,60.0
SKU00002,2025-02-03,40,38.0
SKU00002,2025-02-10,63,45.0
SKU00002,2025-02-17,54,14.0
SKU00002,2025-02-24,47,61.0
SKU00002,2025-03-03,57,41.0
SKU00002,2025-03-10,71,45.0
SKU00002,2025-03-17,47,73.0
SKU00002,2025-03-24,66,37.0
SKU00002,2025-03-31,59,74.0
SKU00002,2025-04-07,42,56.0
SKU00002,2025-04-14,64,47.0
SKU00002,2025-04-21,63,49.0
SKU00002,2025-04-28,71,82.0
SKU00002,2025-05-05,61,26.0
SKU00002,2025-05-12,54,56.0
SKU00002,2025-05-19,41,90.0
SKU00002,2025-05-26,36,50.0
SKU00002,2025-06-02,62,51.0
SKU00002,2025-06-09,71,56.0
SKU00002,2025-06-16,53,76.0
SKU00002,2025-06-23,91,76.0
SKU00002,2025-06-30,54,53.0
SKU00002,2025-07-07,30,42.0
SKU00002,2025-07-14,62,59.0
SKU00002,2025-07-21,53,54.0
SKU00002,2025-07-28,40,73.0
SKU00002,2025-08-04,79,81.0
SKU00002,2025-08-11,52,55.0
SKU00002,2025-08-18,45,61.0
SKU00002,2025-08-25,55,66.0
SKU00002,2025-09-01,41,59.0
SKU00002,2025-09-08,78,18.0
SKU00002,2025-09-15,29,61.0
SKU00002,2025-09-22,59,79.0
SKU00002,2025-09-29,43,59.0
SKU00002,2025-10-06,55,40.0
SKU00002,2025-10-13,59,52.0
SKU00002,2025-10-20,44,60.0
SKU00002,2025-10-27,47,92.0
SKU00002,2025-11-03,86,70.0
SKU00002,2025-11-10,97,111.0
SKU00002,2025-11-17,86,91.0
SKU00002,2025-11-24,68,61.0
SKU00002,2025-12-01,86,69.0
SKU00002,2025-12-08,104,95.0
SKU00002,2025-12-15,131,83.0
SKU00002,2025-12-22,64,74.0
SKU00002,2025-12-29,42,44.0
SKU00003,2024-01-01,25,
SKU00003,2024-01-08,34,
SKU00003,2024-01-15,66,
SKU00003,2024-01-22,32,
SKU00003,2024-01-29,46,
SKU00003,2024-02-05,48,
SKU00003,2024-02-12,48,
SKU00003,2024-02-19,52,
SKU00003,2024-02-26,51,
SKU00003,2024-03-04,67,
SKU00003,2024-03-11,58,
SKU00003,2024-03-18,63,
SKU00003,2024-03-25,53,
SKU00003,2024-04-01,62,
SKU00003,2024-04-08,37,
SKU00003,2024-04-15,45,
SKU00003,2024-04-22,36,
SKU00003,2024-04-29,41,
SKU00003,2024-05-06,54,
SKU00003,2024-05-13,49,
SKU00003,2024-05-20,62,
SKU00003,2024-05-27,36,
SKU00003,2024-06-03,64,
SKU00003,2024-06-10,36,
SKU00003,2024-06-17,43,
SKU00003,2024-06-24,56,
SKU00003,2024-07-01,72,
SKU00003,2024-07-08,36,
SKU00003,2024-07-15,40,
SKU00003,2024-07-22,79,
SKU00003,2024-07-29,39,
SKU00003,2024-08-05,81,
SKU00003,2024-08-12,54,
SKU00003,2024-08-19,75,
SKU00003,2024-08-26,68,
SKU00003,2024-09-02,55,
SKU00003,2024-09-09,58,
SKU00003,2024-09-16,50,
SKU00003,2024-09-23,69,
SKU00003,2024-09-30,65,
SKU00003,2024-10-07,76,
SKU00003,2024-10-14,64,
SKU00003,2024-10-21,41,
SKU00003,2024-10-28,107,
SKU00003,2024-11-04,64,
SKU00003,2024-11-11,101,
SKU00003,2024-11-18,93,
SKU00003,2024-11-25,64,
SKU00003,2024-12-02,100,
SKU00003,2024-12-09,78,
SKU00003,2024-12-16,58,
SKU00003,2024-12-23,71,
SKU00003,2024-12-30,55,25.0
SKU00003,2025-01-06,41,34.0
SKU00003,2025-01-13,57,66.0
SKU00003,2025-01-20,32,32.0
SKU00003,2025-01-27,85,46.0
SKU00003,2025-02-03,44,48.0
SKU00003,2025-02-10,38,48.0
SKU00003,2025-02-17,50,52.0
SKU00003,2025-02-24,46,51.0
SKU00003,2025-03-03,63,67.0
SKU00003,2025-03-10,36,58.0
SKU00003,2025-03-17,48,63.0
SKU00003,2025-03-24,61,53.0
SKU00003,2025-03-31,67,62.0
SKU00003,2025-04-07,80,37.0
SKU00003,2025-04-14,66,45.0
SKU00003,2025-04-21,68,36.0
SKU00003,2025-04-28,26,41.0
SKU00003,2025-05-05,51,54.0
SKU00003,2025-05-12,72,49.0
SKU00003,2025-05-19,41,62.0
SKU00003,2025-05-26,43,36.0
SKU00003,2025-06-02,55,64.0
SKU00003,2025-06-09,61,36.0
SKU00003,2025-06-16,60,43.0
SKU00003,2025-06-23,49,56.0
SKU00003,2025-06-30,88,72.0
SKU00003,2025-07-07,20,36.0
SKU00003,2025-07-14,56,40.0
SKU00003,2025-07-21,38,79.0
SKU00003,2025-07-28,85,39.0
SKU00003,2025-08-04,59,81.0
SKU00003,2025-08-11,26,54.0
SKU00003,2025-08-18,49,75.0
SKU00003,2025-08-25,55,68.0
SKU00003,2025-09-01,40,55.0
SKU00003,2025-09-08,65,58.0
SKU00003,2025-09-15,84,50.0
SKU00003,2025-09-22,32,69.0
SKU00003,2025-09-29,50,65.0
SKU00003,2025-10-06,55,76.0
SKU00003,2025-10-13,68,64.0
SKU00003,2025-10-20,43,41.0
SKU00003,2025-10-27,59,107.0
SKU00003,2025-11-03,97,64.0
SKU00003,2025-11-10,83,101.0
SKU00003,2025-11-17,86,93.0
SKU00003,2025-11-24,96,64.0
SKU00003,2025-12-01,80,100.0
SKU00003,2025-12-08,92,78.0
SKU00003,2025-12-15,79,58.0
SKU00003,2025-12-22,81,71.0
SKU00003,2025-12-29,23,55.0
SKU00004,2024-01-01,58,
SKU00004,2024-01-08,27,
SKU00004,2024-01-15,40,
SKU00004,2024-01-22,34,
SKU00004,2024-01-29,25,
SKU00004,2024-02-05,46,
SKU00004,2024-02-12,47,
SKU00004,2024-02-19,63,
SKU00004,2024-02-26,44,
SKU00004,2024-03-04,70,
SKU00004,2024-03-11,43,
SKU00004,2024-03-18,60,
SKU00004,2024-03-25,70,
SKU00004,2024-04-01,55,
SKU00004,2024-04-08,62,
SKU00004,2024-04-15,51,
SKU00004,2024-04-22,65,
SKU00004,2024-04-29,51,
SKU00004,2024-05-06,37,
SKU00004,2024-05-13,99,
SKU00004,2024-05-20,60,
SKU00004,2024-05-27,49,
SKU00004,2024-06-03,63,
SKU00004,2024-06-10,52,
SKU00004,2024-06-17,79,
SKU00004,2024-06-24,68,
SKU00004,2024-07-01,38,
SKU00004,2024-07-08,38,
SKU00004,2024-07-15,35,
SKU00004,2024-07-22,77,
SKU00004,2024-07-29,87,
SKU00004,2024-08-05,72,
SKU00004,2024-08-12,63,
SKU00004,2024-08-19,27,
SKU00004,2024-08-26,68,
SKU00004,2024-09-02,62,
SKU00004,2024-09-09,50,
SKU00004,2024-09-16,47,
SKU00004,2024-09-23,63,
SKU00004,2024-09-30,48,
SKU00004,2024-10-07,35,
SKU00004,2024-10-14,29,
SKU00004,2024-10-21,54,
SKU00004,2024-10-28,78,
SKU00004,2024-11-04,105,
SKU00004,2024-11-11,86,
SKU00004,2024-11-18,91,
SKU00004,2024-11-25,91,
SKU00004,2024-12-02,76,
SKU00004,2024-12-09,71,
SKU00004,2024-12-16,101,
SKU00004,2024-12-23,85,
SKU00004,2024-12-30,73,58.0
SKU00004,2025-01-06,52,27.0
SKU00004,2025-01-13,38,40.0
SKU00004,2025-01-20,35,34.0
SKU00004,2025-01-27,32,25.0
SKU00004,2025-02-03,32,46.0
SKU00004,2025-02-10,57,47.0
SKU00004,2025-02-17,62,63.0
SKU00004,2025-02-24,60,44.0
SKU00004,2025-03-03,49,70.0
SKU00004,2025-03-10,60,43.0
SKU00004,2025-03-17,27,60.0
SKU00004,2025-03-24,66,70.0
SKU00004,2025-03-31,59,55.0
SKU00004,2025-04-07,70,62.0
SKU00004,2025-04-14,55,51.0
SKU00004,2025-04-21,76,65.0
SKU00004,2025-04-28,42,51.0
SKU00004,2025-05-05,39,37.0
SKU00004,2025-05-12,24,99.0
SKU00004,2025-05-19,43,60.0
SKU00004,2025-05-26,60,49.0
SKU00004,2025-06-02,51,63.0
SKU00004,2025-06-09,77,52.0
SKU00004,2025-06-16,60,79.0
SKU00004,2025-06-23,97,68.0
SKU00004,2025-06-30,40,38.0
SKU00004,2025-07-07,22,38.0
SKU00004,2025-07-14,63,35.0
SKU00004,2025-07-21,62,77.0
SKU00004,2025-07-28,47,87.0
SKU00004,2025-08-04,36,72.0
SKU00004,2025-08-11,39,63.0
SKU00004,2025-08-18,33,27.0
SKU00004,2025-08-25,63,68.0
SKU00004,2025-09-01,61,62.0
SKU00004,2025-09-08,61,50.0
SKU00004,2025-09-15,76,47.0
SKU00004,2025-09-22,57,63.0
SKU00004,2025-09-29,53,48.0
SKU00004,2025-10-06,37,35.0
SKU00004,2025-10-13,67,29.0
SKU00004,2025-10-20,70,54.0
SKU00004,2025-10-27,60,78.0
SKU00004,2025-11-03,139,105.0
SKU00004,2025-11-10,112,86.0
SKU00004,2025-11-17,99,91.0
SKU00004,2025-11-24,95,91.0
SKU00004,2025-12-01,94,76.0
SKU00004,2025-12-08,84,71.0
SKU00004,2025-12-15,80,101.0
SKU00004,2025-12-22,70,85.0
SKU00004,2025-12-29,35,73.0
SKU00005,2024-01-01,49,
SKU00005,2024-01-08,35,
SKU00005,2024-01-15,13,
SKU00005,2024-01-22,55,
SKU00005,2024-01-29,31,
SKU00005,2024-02-05,34,
SKU00005,2024-02-12,40,
SKU00005,2024-02-19,34,
SKU00005,2024-02-26,40,
SKU00005,2024-03-04,65,
SKU00005,2024-03-11,49,
SKU00005,2024-03-18,50,
SKU00005,2024-03-25,48,
SKU00005,2024-04-01,58,
SKU00005,2024-04-08,42,
SKU00005,2024-04-15,64,
SKU00005,2024-04-22,72,
SKU00005,2024-04-29,73,
SKU00005,2024-05-06,31,
SKU00005,2024-05-13,42,
SKU00005,2024-05-20,37,
SKU00005,2024-05-27,76,
SKU00005,2024-06-03,46,
SKU00005,2024-06-10,47,
SKU00005,2024-06-17,69,
SKU00005,2024-06-24,56,
SKU00005,2024-07-01,52,
SKU00005,2024-07-08,59,
SKU00005,2024-07-15,48,
SKU00005,2024-07-22,50,
SKU00005,2024-07-29,40,
SKU00005,2024-08-05,57,
SKU00005,2024-08-12,81,
SKU00005,2024-08-19,102,
SKU00005,2024-08-26,49,
SKU00005,2024-09-02,32,
SKU00005,2024-09-09,57,
SKU00005,2024-09-16,47,
SKU00005,2024-09-23,31,
SKU00005,2024-09-30,77,
SKU00005,2024-10-07,71,
SKU00005,2024-10-14,40,
SKU00005,2024-10-21,74,
SKU00005,2024-10-28,76,
SKU00005,2024-11-04,60,
SKU00005,2024-11-11,116,
SKU00005,2024-11-18,115,
SKU00005,2024-11-25,76,
SKU00005,2024-12-02,111,
SKU00005,2024-12-09,100,
SKU00005,2024-12-16,119,
SKU00005,2024-12-23,109,
SKU00005,2024-12-30,85,49.0
SKU00005,2025-01-06,71,35.0
SKU00005,2025-01-13,85,13.0
SKU00005,2025-01-20,56,55.0
SKU00005,2025-01-27,72,31.0
SKU00005,2025-02-03,41,34.0
SKU00005,2025-02-10,19,40.0
SKU00005,2025-02-17,37,34.0
SKU00005,2025-02-24,37,40.0
SKU00005,2025-03-03,33,65.0
SKU00005,2025-03-10,53,49.0
SKU00005,2025-03-17,52,50.0
SKU00005,2025-03-24,48,48.0
SKU00005,2025-03-31,56,58.0
SKU00005,2025-04-07,44,42.0
SKU00005,2025-04-14,27,64.0
SKU00005,2025-04-21,29,72.0
SKU00005,2025-04-28,46,73.0
SKU00005,2025-05-05,58,31.0
SKU00005,2025-05-12,47,42.0
SKU00005,2025-05-19,46,37.0
SKU00005,2025-05-26,39,76.0
SKU00005,2025-06-02,68,46.0
SKU00005,2025-06-09,45,47.0
SKU00005,2025-06-16,80,69.0
SKU00005,2025-06-23,34,56.0
SKU00005,2025-06-30,47,52.0
SKU00005,2025-07-07,70,59.0
SKU00005,2025-07-14,59,48.0
SKU00005,2025-07-21,34,50.0
SKU00005,2025-07-28,72,40.0
SKU00005,2025-08-04,54,57.0
SKU00005,2025-08-11,65,81.0
SKU00005,2025-08-18,58,102.0
SKU00005,2025-08-25,40,49.0
SKU00005,2025-09-01,36,32.0
SKU00005,2025-09-08,46,57.0
SKU00005,2025-09-15,55,47.0
SKU00005,2025-09-22,60,31.0
SKU00005,2025-09-29,50,77.0
SKU00005,2025-10-06,37,71.0
SKU00005,2025-10-13,69,40.0
SKU00005,2025-10-20,59,74.0
SKU00005,2025-10-27,82,76.0
SKU00005,2025-11-03,99,60.0
SKU00005,2025-11-10,85,116.0
SKU00005,2025-11-17,70,115.0
SKU00005,2025-11-24,105,76.0
SKU00005,2025-12-01,92,111.0
SKU00005,2025-12-08,138,100.0
SKU00005,2025-12-15,90,119.0
SKU00005,2025-12-22,71,109.0
SKU00005,2025-12-29,31,85.0
SKU00006,2024-01-01,60,
SKU00006,2024-01-08,29,
SKU00006,2024-01-15,42,
SKU00006,2024-01-22,25,
SKU00006,2024-01-29,45,
SKU00006,2024-02-05,40,
SKU00006,2024-02-12,47,
SKU00006,2024-02-19,40,
SKU00006,2024-02-26,34,
SKU00006,2024-03-04,59,
SKU00006,2024-03-11,59,
SKU00006,2024-03-18,71,
SKU00006,2024-03-25,38,
SKU00006,2024-04-01,47,
SKU00006,2024-04-08,58,
SKU00006,2024-04-15,49,
SKU00006,2024-04-22,41,
SKU00006,2024-04-29,42,
SKU00006,2024-05-06,51,
SKU00006,2024-05-13,49,
SKU00006,2024-05-20,37,
SKU00006,2024-05-27,35,
SKU00006,2024-06-03,60,
SKU00006,2024-06-10,64,
SKU00006,2024-06-17,56,
SKU00006,2024-06-24,59,
SKU00006,2024-07-01,26,
SKU00006,2024-07-08,51,
SKU00006,2024-07-15,19,
SKU00006,2024-07-22,32,
SKU00006,2024-07-29,60,
SKU00006,2024-08-05,79,
SKU00006,2024-08-12,64,
SKU00006,2024-08-19,64,
SKU00006,2024-08-26,68,
SKU00006,2024-09-02,38,
SKU00006,2024-09-09,49,
SKU00006,2024-09-16,78,
SKU00006,2024-09-23,33,
SKU00006,2024-09-30,41,
SKU00006,2024-10-07,51,
SKU00006,2024-10-14,57,
SKU00006,2024-10-21,36,
SKU00006,2024-10-28,70,
SKU00006,2024-11-04,80,
SKU00006,2024-11-11,74,
SKU00006,2024-11-18,66,
SKU00006,2024-11-25,65,
SKU00006,2024-12-02,63,
SKU00006,2024-12-09,78,
SKU00006,2024-12-16,58,
SKU00006,2024-12-23,90,
SKU00006,2024-12-30,59,60.0
SKU00006,2025-01-06,64,29.0
SKU00006,2025-01-13,37,42.0
SKU00006,2025-01-20,62,25.0
SKU00006,2025-01-27,53,45.0
SKU00006,2025-02-03,27,40.0
SKU00006,2025-02-10,40,47.0
SKU00006,2025-02-17,56,40.0
SKU00006,2025-02-24,57,34.0
SKU00006,2025-03-03,70,59.0
SKU00006,2025-03-10,26,59.0
SKU00006,2025-03-17,47,71.0
SKU00006,2025-03-24,62,38.0
SKU00006,2025-03-31,57,47.0
SKU00006,2025-04-07,74,58.0
SKU00006,2025-04-14,75,49.0
SKU00006,2025-04-21,65,41.0
SKU00006,2025-04-28,59,42.0
SKU00006,2025-05-05,52,51.0
SKU00006,2025-05-12,27,49.0
SKU00006,2025-05-19,67,37.0
SKU00006,2025-05-26,51,35.0
SKU00006,2025-06-02,76,60.0
SKU00006,2025-06-09,51,64.0
SKU00006,2025-06-16,64,56.0
SKU00006,2025-06-23,49,59.0
SKU00006,2025-06-30,59,26.0
SKU00006,2025-07-07,44,51.0
SKU00006,2025-07-14,58,19.0
SKU00006,2025-07-21,54,32.0
SKU00006,2025-07-28,37,60.0
SKU00006,2025-08-04,76,79.0
SKU00006,2025-08-11,38,64.0
SKU00006,2025-08-18,95,64.0
SKU00006,2025-08-25,32,68.0
SKU00006,2025-09-01,31,38.0
SKU00006,2025-09-08,37,49.0
SKU00006,2025-09-15,42,78.0
SKU00006,2025-09-22,60,33.0
SKU00006,2025-09-29,62,41.0
SKU00006,2025-10-06,76,51.0
SKU00006,2025-10-13,62,57.0
SKU00006,2025-10-20,48,36.0
SKU00006,2025-10-27,56,70.0
SKU00006,2025-11-03,99,80.0
SKU00006,2025-11-10,72,74.0
SKU00006,2025-11-17,82,66.0
SKU00006,2025-11-24,91,65.0
SKU00006,2025-12-01,75,63.0
SKU00006,2025-12-08,74,78.0
SKU00006,2025-12-15,114,58.0
SKU00006,2025-12-22,74,90.0
SKU00006,2025-12-29,16,59.0
SKU00007,2024-01-01,59,
SKU00007,2024-01-08,50,
SKU00007,2024-01-15,25,
SKU00007,2024-01-22,54,
SKU00007,2024-01-29,40,
SKU00007,2024-02-05,52,
SKU00007,2024-02-12,45,
SKU00007,2024-02-19,60,
SKU00007,2024-02-26,52,
SKU00007,2024-03-04,51,
SKU00007,2024-03-11,44,
SKU00007,2024-03-18,25,
SKU00007,2024-03-25,64,
SKU00007,2024-04-01,71,
SKU00007,2024-04-08,63,
SKU00007,2024-04-15,60,
SKU00007,2024-04-22,51,
SKU00007,2024-04-29,42,
SKU00007,2024-05-06,65,
SKU00007,2024-05-13,63,
SKU00007,2024-05-20,38,
SKU00007,2024-05-27,45,
SKU00007,2024-06-03,41,
SKU00007,2024-06-10,60,
SKU00007,2024-06-17,68,
SKU00007,2024-06-24,55,
SKU00007,2024-07-01,54,
SKU00007,2024-07-08,48,
SKU00007,2024-07-15,55,
SKU00007,2024-07-22,78,
SKU00007,2024-07-29,60,
SKU00007,2024-08-05,79,
SKU00007,2024-08-12,41,
SKU00007,2024-08-19,33,
SKU00007,2024-08-26,83,
SKU00007,2024-09-02,60,
SKU00007,2024-09-09,84,
SKU00007,2024-09-16,39,
SKU00007,2024-09-23,39,
SKU00007,2024-09-30,32,
SKU00007,2024-10-07,83,
SKU00007,2024-10-14,28,
SKU00007,2024-10-21,74,
SKU00007,2024-10-28,71,
SKU00007,2024-11-04,119,
SKU00007,2024-11-11,93,
SKU00007,2024-11-18,74,
SKU00007,2024-11-25,97,
SKU00007,2024-12-02,87,
SKU00007,2024-12-09,105,
SKU00007,2024-12-16,60,
SKU00007,2024-12-23,64,
SKU00007,2024-12-30,74,59.0
SKU00007,2025-01-06,54,50.0
SKU00007,2025-01-13,45,25.0
SKU00007,2025-01-20,28,54.0
SKU00007,2025-01-27,43,40.0
SKU00007,2025-02-03,59,52.0
SKU00007,2025-02-10,36,45.0
SKU00007,2025-02-17,50,60.0
SKU00007,2025-02-24,63,52.0
SKU00007,2025-03-03,57,51.0
SKU00007,2025-03-10,65,44.0
SKU00007,2025-03-17,53,25.0
SKU00007,2025-03-24,67,64.0
SKU00007,2025-03-31,52,71.0
SKU00007,2025-04-07,41,63.0
SKU00007,2025-04-14,46,60.0
SKU00007,2025-04-21,104,51.0
SKU00007,2025-04-28,41,42.0
SKU00007,2025-05-05,47,65.0
SKU00007,2025-05-12,64,63.0
SKU00007,2025-05-19,55,38.0
SKU00007,2025-05-26,82,45.0
SKU00007,2025-06-02,52,41.0
SKU00007,2025-06-09,61,60.0
SKU00007,2025-06-16,58,68.0
SKU00007,2025-06-23,29,55.0
SKU00007,2025-06-30,91,54.0
SKU00007,2025-07-07,30,48.0
SKU00007,2025-07-14,33,55.0
SKU00007,2025-07-21,62,78.0
SKU00007,2025-07-28,52,60.0
SKU00007,2025-08-04,19,79.0
SKU00007,2025-08-11,57,41.0
SKU00007,2025-08-18,56,33.0
SKU00007,2025-08-25,45,83.0
SKU00007,2025-09-01,54,60.0
SKU00007,2025-09-08,46,84.0
SKU00007,2025-09-15,78,39.0
SKU00007,2025-09-22,31,39.0
SKU00007,2025-09-29,37,32.0
SKU00007,2025-10-06,87,83.0
SKU00007,2025-10-13,43,28.0
SKU00007,2025-10-20,34,74.0
SKU00007,2025-10-27,77,71.0
SKU00007,2025-11-03,71,119.0
SKU00007,2025-11-10,103,93.0
SKU00007,2025-11-17,88,74.0
SKU00007,2025-11-24,61,97.0
SKU00007,2025-12-01,129,87.0
SKU00007,2025-12-08,111,105.0
SKU00007,2025-12-15,96,60.0
SKU00007,2025-12-22,73,64.0
SKU00007,2025-12-29,35,74.0
SKU00008,2024-01-01,41,
SKU00008,2024-01-08,29,
SKU00008,2024-01-15,49,
SKU00008,2024-01-22,69,
SKU00008,2024-01-29,36,
SKU00008,2024-02-05,41,
SKU00008,2024-02-12,43,
SKU00008,2024-02-19,36,
SKU00008,2024-02-26,29,
SKU00008,2024-03-04,54,
SKU00008,2024-03-11,60,
SKU00008,2024-03-18,55,
SKU00008,2024-03-25,128,
SKU00008,2024-04-01,48,
SKU00008,2024-04-08,86,
SKU00008,2024-04-15,59,
SKU00008,2024-04-22,20,
SKU00008,2024-04-29,53,
SKU00008,2024-05-06,46,
SKU00008,2024-05-13,33,
SKU00008,2024-05-20,58,
SKU00008,2024-05-27,59,
SKU00008,2024-06-03,44,
SKU00008,2024-06-10,61,
SKU00008,2024-06-17,64,
SKU00008,2024-06-24,72,
SKU00008,2024-07-01,58,
SKU00008,2024-07-08,33,
SKU00008,2024-07-15,63,
SKU00008,2024-07-22,53,
SKU00008,2024-07-29,67,
SKU00008,2024-08-05,56,
SKU00008,2024-08-12,92,
SKU00008,2024-08-19,49,
SKU00008,2024-08-26,74,
SKU00008,2024-09-02,47,
SKU00008,2024-09-09,56,
SKU00008,2024-09-16,53,
SKU00008,2024-09-23,65,
SKU00008,2024-09-30,51,
SKU00008,2024-10-07,60,
SKU00008,2024-10-14,57,
SKU00008,2024-10-21,75,
SKU00008,2024-10-28,77,
SKU00008,2024-11-04,78,
SKU00008,2024-11-11,59,
SKU00008,2024-11-18,83,
SKU00008,2024-11-25,54,
SKU00008,2024-12-02,87,
SKU00008,2024-12-09,52,
SKU00008,2024-12-16,102,
SKU00008,2024-12-23,69,
SKU00008,2024-12-30,77,41.0
SKU00008,2025-01-06,33,29.0
SKU00008,2025-01-13,62,49.0
SKU00008,2025-01-20,35,69.0
SKU00008,2025-01-27,42,36.0
SKU00008,2025-02-03,41,41.0
SKU00008,2025-02-10,50,43.0
SKU00008,2025-02-17,62,36.0
SKU00008,2025-02-24,16,29.0
SKU00008,2025-03-03,50,54.0
SKU00008,2025-03-10,71,60.0
SKU00008,2025-03-17,94,55.0
SKU00008,2025-03-24,39,128.0
