sku_id,stock_on_hand,reorder_point,safety_stock,n_stores_carrying,last_restock_date,category,subcategory
SKU00080,1,43,16,1,2025-11-02,Snacks & Confectionery,Biscuits & Cookies
SKU00081,276,117,55,2,2025-12-30,Home Care,Laundry
SKU00082,175,113,45,2,2025-12-09,Home & Kitchen,Storage & Containers
SKU00083,6987,1605,621,27,2025-12-09,Grocery,Pulses & Lentils
SKU00084,39,108,33,2,2025-11-25,Apparel & Footwear,Men's Wear
SKU00085,308,167,51,2,2025-12-05,Home Care,Dishwashing
SKU00086,230,224,100,3,2025-12-21,Electronics & Accessories,Small Appliances
SKU00087,28,77,27,1,2025-12-14,Health & Wellness,First Aid
SKU00090,7868,1737,598,23,2025-08-22,Health & Wellness,OTC Medicine
SKU00091,260,137,47,3,2025-12-09,Beverages,Bottled Water
SKU00092,137,115,34,2,2025-12-01,Health & Wellness,OTC Medicine
SKU00093,276,158,49,2,2025-12-07,Beverages,Energy Drinks
SKU00094,88,73,24,2,2025-12-26,Health & Wellness,OTC Medicine
SKU00095,98,77,25,1,2025-11-19,Health & Wellness,First Aid
SKU00096,127,76,24,1,2025-11-26,Beverages,Juices
SKU00097,377,172,63,2,2025-12-02,Apparel & Footwear,Kids Wear
SKU00098,224,83,20,1,2025-11-27,Personal Care,Men's Grooming
SKU00099,18,77,34,1,2025-12-31,Apparel & Footwear,Footwear
SKU00100,177,116,55,2,2025-12-25,Grocery,Flour & Atta
SKU00102,131,130,57,2,2025-12-23,Home Care,Surface Cleaners
SKU00103,294,176,51,4,2025-12-27,Snacks & Confectionery,Namkeen
SKU00104,299,137,54,2,2025-12-08,Dairy & Bakery,Bread
SKU00105,6368,1389,496,26,2025-11-07,Health & Wellness,First Aid
SKU00106,436,327,136,5,2025-12-25,Beverages,Bottled Water
SKU00107,278,240,88,4,2025-12-31,Electronics & Accessories,Mobile Accessories
SKU00108,277,192,67,3,2025-12-14,Beverages,Juices
SKU00110,134,83,25,2,2025-12-24,Health & Wellness,Vitamins & Supplements
SKU00111,442,191,71,3,2025-12-15,Apparel & Footwear,Footwear
SKU00112,377,194,49,4,2025-12-26,Snacks & Confectionery,Chips & Crisps
SKU00113,230,145,53,2,2025-11-10,Dairy & Bakery,Bread
SKU00114,96,123,37,2,2025-12-26,Stationery & Office,Writing Instruments
SKU00115,336,250,71,3,2025-12-06,Stationery & Office,Office Supplies
SKU00116,10,41,11,1,2025-12-23,Frozen Foods,Ready Meals
SKU00117,278,191,74,4,2025-12-30,Home Care,Surface Cleaners
SKU00118,351,159,53,3,2025-12-27,Personal Care,Bath & Body
SKU00119,5,22,11,1,2025-11-10,Health & Wellness,OTC Medicine
SKU00120,252,180,49,2,2025-11-24,Health & Wellness,First Aid
SKU00122,98,160,46,3,2025-12-23,Grocery,Cooking Oil
SKU00123,231,128,54,2,2025-11-18,Beverages,Juices
SKU00124,15,27,13,1,2025-12-15,Stationery & Office,Writing Instruments
SKU00125,186,98,31,2,2025-12-30,Home Care,Air Fresheners
SKU00126,140,143,47,2,2025-12-25,Home Care,Dishwashing
SKU00127,4986,1188,404,19,2025-12-26,Home Care,Dishwashing
SKU00128,124,53,25,1,2025-12-17,Apparel & Footwear,Footwear
SKU00129,83,47,17,1,2025-11-13,Grocery,Cooking Oil
SKU00130,225,123,49,2,2025-12-29,Grocery,Pulses & Lentils
SKU00131,261,140,57,2,2025-12-08,Dairy & Bakery,Eggs
SKU00133,365,133,52,3,2025-12-31,Electronics & Accessories,Small Appliances
SKU00134,209,184,63,3,2025-12-07,Home Care,Air Fresheners
SKU00135,218,265,111,4,2025-12-14,Home Care,Pest Control
SKU00136,112,57,26,1,2025-12-10,Stationery & Office,Writing Instruments
SKU00137,156,68,20,1,2025-11-17,Beverages,Juices
SKU00138,495,315,106,5,2025-12-28,Frozen Foods,Ready Meals
SKU00140,8639,2078,664,30,2025-12-07,Home Care,Dishwashing
SKU00141,133,120,40,2,2025-11-27,Apparel & Footwear,Footwear
SKU00142,179,178,46,2,2025-12-29,Dairy & Bakery,Yogurt
SKU00143,79,44,17,1,2025-11-24,Stationery & Office,Writing Instruments
SKU00144,165,95,32,3,2025-12-27,Dairy & Bakery,Eggs
SKU00145,86,57,20,2,2025-11-26,Frozen Foods,Ready Meals
SKU00146,381,230,56,3,2025-12-15,Frozen Foods,Ready Meals
SKU00147,14,43,17,1,2025-12-22,Home & Kitchen,Cookware
SKU00149,87,40,9,1,2025-11-21,Dairy & Bakery,Cheese
SKU00150,7608,1738,634,29,2025-08-25,Grocery,Sugar & Salt
SKU00151,261,89,22,1,2025-12-27,Personal Care,Skin Care
SKU00153,174,103,32,2,2025-12-24,Grocery,Pulses & Lentils
SKU00154,46,41,12,1,2025-11-01,Home & Kitchen,Storage & Containers
SKU00155,7508,1674,608,29,2025-08-25,Frozen Foods,Frozen Vegetables
SKU00156,171,159,36,2,2025-11-21,Beverages,Coffee
SKU00157,321,208,68,3,2025-11-27,Dairy & Bakery,Butter & Ghee
SKU00159,400,165,44,2,2025-12-23,Dairy & Bakery,Milk
SKU00160,76,46,14,1,2025-12-25,Beverages,Bottled Water
SKU00161,52,27,10,1,2025-12-24,Health & Wellness,OTC Medicine
SKU00162,84,57,20,1,2025-12-29,Electronics & Accessories,Small Appliances
SKU00163,179,60,23,1,2025-11-28,Beverages,Juices
SKU00166,167,90,39,2,2025-11-10,Health & Wellness,First Aid
SKU00167,7221,1563,578,30,2025-08-31,Electronics & Accessories,Batteries
SKU00168,52,93,27,1,2025-11-24,Electronics & Accessories,Mobile Accessories
SKU00169,0,1104,377,22,2025-10-05,Stationery & Office,Office Supplies
SKU00170,7213,1668,575,30,2025-08-29,Apparel & Footwear,Men's Wear
SKU00171,113,97,47,1,2025-12-03,Dairy & Bakery,Cheese
SKU00173,4877,1242,419,23,2025-08-30,Health & Wellness,OTC Medicine
SKU00175,25,95,22,1,2025-12-17,Stationery & Office,Office Supplies
SKU00177,54,1142,419,19,2025-11-12,Snacks & Confectionery,Chocolates
SKU00178,265,120,52,2,2025-12-10,Grocery,Pulses & Lentils
SKU00179,237,169,44,3,2025-12-27,Beverages,Juices
SKU00180,81,31,10,1,2025-12-19,Frozen Foods,Frozen Meat
SKU00181,633,380,108,5,2025-12-28,Frozen Foods,Ice Cream
SKU00182,212,216,84,5,2025-12-28,Personal Care,Men's Grooming
SKU00183,84,73,36,1,2025-12-19,Dairy & Bakery,Butter & Ghee
SKU00184,96,33,15,1,2025-11-17,Apparel & Footwear,Footwear
SKU00185,398,175,76,2,2025-12-17,Home Care,Air Fresheners
SKU00186,4390,994,324,20,2025-08-23,Apparel & Footwear,Men's Wear
SKU00188,101,52,15,1,2025-11-14,Dairy & Bakery,Bread
SKU00189,103,86,32,2,2025-12-29,Snacks & Confectionery,Biscuits & Cookies
SKU00190,0,1446,495,25,2025-10-06,Stationery & Office,Writing Instruments
SKU00191,73,108,37,2,2025-11-16,Health & Wellness,Vitamins & Supplements
SKU00192,207,130,39,2,2025-12-12,Dairy & Bakery,Bread
SKU00193,79,73,15,1,2025-12-31,Health & Wellness,First Aid
SKU00194,20,40,9,1,2025-12-21,Frozen Foods,Frozen Meat
SKU00195,595,344,136,6,2025-12-29,Home & Kitchen,Cookware
SKU00196,148,100,35,1,2025-12-12,Dairy & Bakery,Butter & Ghee
SKU00197,171,79,38,3,2025-12-30,Stationery & Office,Writing Instruments
SKU00198,537,271,102,4,2025-12-09,Stationery & Office,Writing Instruments
SKU00199,62,39,12,1,2025-12-28,Snacks & Confectionery,Biscuits & Cookies
SKU00200,317,234,91,5,2025-12-31,Beverages,Tea
SKU00201,376,180,73,3,2025-12-27,Frozen Foods,Frozen Vegetables
SKU00202,314,174,63,4,2025-12-04,Grocery,Flour & Atta
SKU00203,93,81,25,2,2025-12-20,Dairy & Bakery,Milk
SKU00204,20,31,15,1,2025-12-29,Home Care,Surface Cleaners
SKU00205,45,59,13,1,2025-11-30,Stationery & Office,Office Supplies
SKU00206,185,63,29,1,2025-12-18,Stationery & Office,Office Supplies
SKU00209,89,96,23,1,2025-12-07,Beverages,Soft Drinks
SKU00210,169,149,52,2,2025-12-28,Electronics & Accessories,Batteries
SKU00212,61,46,15,1,2025-12-08,Home & Kitchen,Home Decor
SKU00213,100,67,25,2,2025-12-03,Snacks & Confectionery,Chocolates
SKU00214,116,146,49,2,2025-12-31,Home & Kitchen,Home Decor
SKU00215,352,212,68,3,2025-12-24,Beverages,Juices
SKU00216,374,204,71,3,2025-12-27,Frozen Foods,Frozen Vegetables
SKU00218,450,284,99,5,2025-12-29,Dairy & Bakery,Bread
SKU00219,262,92,29,2,2025-12-25,Grocery,Flour & Atta
SKU00220,313,157,46,3,2025-12-16,Apparel & Footwear,Women's Wear
SKU00221,304,297,113,4,2025-12-10,Personal Care,Bath & Body
SKU00222,25,35,16,1,2025-12-31,Health & Wellness,OTC Medicine
SKU00223,286,129,42,3,2025-12-26,Personal Care,Hair Care
SKU00224,554,266,119,3,2025-12-16,Personal Care,Hair Care
SKU00225,305,239,88,4,2025-12-10,Home & Kitchen,Home Decor
SKU00226,365,275,91,4,2025-12-19,Beverages,Coffee
SKU00227,374,237,72,3,2025-12-31,Electronics & Accessories,Mobile Accessories
SKU00228,495,180,62,3,2025-12-13,Electronics & Accessories,Mobile Accessories
SKU00229,51,21,5,1,2025-11-29,Personal Care,Oral Care
SKU00230,163,128,39,3,2025-12-15,Dairy & Bakery,Bread
SKU00231,94,86,34,3,2025-12-26,Grocery,Rice & Grains
SKU00232,260,159,57,2,2025-12-01,Stationery & Office,Office Supplies
SKU00233,123,200,78,3,2025-12-16,Stationery & Office,Writing Instruments
SKU00234,70,61,21,2,2025-11-15,Snacks & Confectionery,Biscuits & Cookies
SKU00235,161,124,46,2,2025-12-17,Grocery,Rice & Grains
SKU00236,226,115,34,2,2025-12-12,Beverages,Energy Drinks
SKU00237,8788,1905,664,30,2025-08-31,Grocery,Pulses & Lentils
SKU00238,96,99,44,2,2025-11-08,Apparel & Footwear,Footwear
SKU00239,525,220,63,5,2025-12-31,Home & Kitchen,Storage & Containers
SKU00240,8157,1890,637,30,2025-11-05,Beverages,Energy Drinks
SKU00241,141,67,16,1,2025-12-04,Electronics & Accessories,Mobile Accessories
SKU00242,563,466,150,7,2025-12-12,Snacks & Confectionery,Chips & Crisps
SKU00243,53,28,8,1,2025-11-15,Personal Care,Men's Grooming
SKU00244,306,244,94,4,2025-12-21,Health & Wellness,OTC Medicine
SKU00245,79,171,48,3,2025-11-28,Electronics & Accessories,Batteries
SKU00246,128,79,26,3,2025-11-22,Home & Kitchen,Cookware
SKU00247,482,271,92,4,2025-12-31,Grocery,Sugar & Salt
SKU00248,409,162,53,3,2025-12-23,Snacks & Confectionery,Biscuits & Cookies
SKU00249,348,191,67,3,2025-12-18,Dairy & Bakery,Yogurt
SKU00251,8472,1804,574,29,2025-09-02,,
SKU00252,363,239,104,4,2025-11-29,,
SKU00253,87,129,49,2,2025-11-16,,
SKU00254,79,1231,425,24,2025-12-23,,
SKU00255,92,139,45,2,2025-12-24,,
SKU00256,114,70,18,1,2025-11-19,,
SKU00259,542,220,57,3,2025-11-23,,
SKU00260,87,85,31,2,2025-12-17,,
SKU00262,7920,1785,612,30,2025-08-28,,
SKU00263,110,1069,387,19,2025-12-16,,
SKU00264,223,1664,572,26,2025-11-16,,
SKU00265,352,150,54,3,2025-12-04,,
SKU00266,147,196,84,4,2025-12-17,,
SKU00267,528,369,125,5,2025-12-24,,
SKU00268,101,68,18,1,2025-12-25,,
SKU00269,158,72,21,1,2025-12-24,,
SKU00270,178,60,13,1,2025-11-20,,
SKU00272,46,59,23,2,2025-12-21,,
SKU00273,204,180,63,3,2025-12-25,,
SKU00274,79,42,14,2,2025-12-30,,
SKU00275,58,142,64,3,2025-12-29,,
SKU00276,215,221,71,4,2025-12-04,,
SKU00277,90,156,42,3,2025-12-13,,
SKU00278,85,52,16,2,2025-12-31,,
SKU00279,76,59,13,1,2025-12-28,,
SKU00280,249,133,41,3,2025-12-23,,
SKU00283,521,307,109,4,2025-11-28,,
SKU00285,0,1342,491,21,2025-10-12,,
SKU00286,161,1166,473,18,2025-12-05,,
SKU00287,191,68,31,2,2025-12-17,,
SKU00288,379,152,44,2,2025-12-30,,
SKU00289,292,297,103,4,2025-12-18,,
SKU00291,0,1300,462,21,2025-10-11,,
SKU00292,263,136,37,2,2025-11-27,,
SKU00293,156,178,86,3,2025-11-28,,
SKU00294,253,203,84,5,2025-12-17,,
SKU00295,250,269,113,4,2025-12-23,,
SKU00296,487,174,72,2,2025-11-23,,
SKU00298,388,330,110,6,2025-12-31,,
SKU00299,115,57,21,2,2025-12-20,,
SKU00301,233,113,30,2,2025-12-01,,
SKU00302,331,234,69,3,2025-11-24,,
SKU00303,115,53,20,2,2025-12-23,,
SKU00304,31,21,5,1,2025-12-06,,
SKU00305,6489,1499,466,24,2025-08-28,,
SKU00306,201,217,64,3,2025-12-17,,
SKU00307,262,131,48,2,2025-11-30,,
SKU00308,328,231,57,4,2025-12-27,,
SKU00309,219,124,40,2,2025-12-30,,
SKU00310,223,125,36,2,2025-11-25,,
SKU00311,87,53,12,1,2025-11-14,,
SKU00312,257,183,73,2,2025-12-13,,
SKU00313,350,284,102,4,2025-12-23,,
SKU00314,25,60,26,1,2025-12-07,,
SKU00315,299,119,50,2,2025-11-18,,
SKU00316,276,205,65,3,2025-11-28,,
SKU00317,6642,1515,554,30,2025-08-24,,
SKU00318,333,188,68,4,2025-11-24,,
SKU00319,583,330,103,5,2025-12-24,,
SKU00320,53,98,48,1,2025-11-24,,
SKU00321,110,54,18,1,2025-11-08,,
SKU00322,95,73,26,1,2025-11-23,,
SKU00323,256,193,56,2,2025-11-20,,
SKU00324,419,212,81,3,2025-11-27,,
SKU00325,92,69,27,2,2025-12-18,,
SKU00326,162,75,23,1,2025-12-20,,
SKU00327,385,202,68,4,2025-11-17,,
SKU00328,72,1490,546,21,2025-11-22,,
SKU00330,4595,983,341,15,2025-08-19,,
SKU00331,7350,1598,537,30,2025-09-02,,
SKU00332,105,62,21,2,2025-12-30,,
SKU00333,574,329,109,5,2025-12-29,,
SKU00334,217,155,45,3,2025-12-23,,
SKU00335,287,183,57,2,2025-12-01,,
SKU00336,318,139,66,2,2025-11-28,,
SKU00337,265,178,54,3,2025-12-19,,
SKU00338,116,202,90,3,2025-12-28,,
SKU00339,311,176,76,3,2025-12-06,,
SKU00340,167,118,43,3,2025-12-18,,
SKU00342,6864,1566,547,30,2025-09-01,,
SKU00343,300,138,43,2,2025-12-02,,
SKU00344,435,172,57,3,2025-12-21,,
SKU00346,74,153,47,2,2025-12-25,,
SKU00347,234,236,77,4,2025-12-22,,
SKU00348,79,85,31,1,2025-11-27,,
SKU00349,133,215,73,4,2025-11-29,,
SKU00350,6485,1373,486,24,2025-08-26,,
SKU00351,317,320,117,6,2025-12-27,,
SKU00353,120,129,53,2,2025-12-30,,
SKU00354,6648,1492,524,24,2025-08-29,,
SKU00355,7653,1698,571,29,2025-09-01,,
SKU00356,221,78,26,1,2025-12-29,,
SKU00357,299,178,62,3,2025-12-29,,
SKU00358,115,41,11,1,2025-12-04,,
SKU00360,257,189,55,3,2025-12-28,,
SKU00361,303,239,81,4,2025-12-23,,
SKU00363,0,1341,438,23,2025-10-12,,
SKU00364,339,161,50,3,2025-11-18,,
SKU00365,155,117,31,2,2025-12-03,,
SKU00366,47,76,22,2,2025-12-25,,
SKU00367,774,348,153,5,2025-12-16,,
SKU00368,186,170,60,2,2025-12-27,,
SKU00369,0,1277,407,19,2025-10-11,,
SKU00371,7713,1575,553,26,2025-09-02,,
SKU00372,57,68,22,1,2025-12-13,,
SKU00373,133,66,28,1,2025-11-20,,
SKU00374,69,118,28,2,2025-12-16,,
SKU00375,255,218,80,3,2025-11-20,,
SKU00376,76,1332,428,24,2025-12-22,,
SKU00377,557,250,78,4,2025-12-06,,
SKU00378,94,176,47,3,2025-12-31,,
SKU00379,75,43,10,1,2025-12-18,,
SKU00380,222,158,55,2,2025-12-26,,
SKU00381,214,226,82,3,2025-12-15,,
SKU00382,346,146,49,3,2025-12-25,,
SKU00383,181,83,39,1,2025-11-28,,
SKU00384,186,68,25,1,2025-12-21,,
SKU00385,7877,1730,612,29,2025-08-29,,
SKU00386,6167,1447,451,26,2025-11-28,,
SKU00387,89,43,9,1,2025-11-23,,
SKU00388,14,40,11,1,2025-12-10,,
SKU00389,7439,1697,593,26,2025-11-09,,
SKU00390,73,36,8,1,2025-12-27,,
SKU00391,538,250,71,3,2025-12-08,,
SKU00393,340,188,77,3,2025-12-21,,
SKU00394,70,51,15,1,2025-11-16,,
SKU00395,144,128,41,2,2025-12-15,,
SKU00396,111,45,16,1,2025-12-02,,
SKU00397,355,160,60,3,2025-12-21,,
SKU00398,179,92,37,1,2025-12-05,,
SKU00400,300,144,54,2,2025-12-27,,
SKU00401,8056,1832,608,30,2025-09-01,,
SKU00402,7033,1676,568,28,2025-09-02,,
SKU00403,371,259,96,4,2025-12-31,,
SKU00404,131,92,45,1,2025-12-18,,
SKU00405,326,221,74,4,2025-12-27,,
SKU00407,248,165,46,3,2025-12-20,,
SKU00408,246,147,40,3,2025-12-13,,
SKU00409,166,129,48,3,2025-11-15,,
SKU00410,64,148,65,3,2025-11-18,,
SKU00411,502,280,82,4,2025-12-18,,
SKU00413,84,73,31,1,2025-11-07,,
SKU00414,81,53,12,1,2025-12-08,,
SKU00415,227,145,42,2,2025-12-05,,
SKU00416,0,1214,449,22,2025-10-12,,
SKU00417,122,85,17,1,2025-12-23,,
SKU00418,409,178,61,3,2025-11-20,,
SKU00419,6280,1511,553,24,2025-11-04,,
SKU00420,358,224,92,4,2025-12-28,,
SKU00421,8278,1886,671,30,2025-08-25,,
SKU00423,173,179,46,3,2025-12-14,,
SKU00424,93,117,39,2,2025-12-21,,
SKU00426,215,263,83,4,2025-12-29,,
SKU00427,73,148,44,2,2025-12-23,,
SKU00428,367,210,82,5,2025-12-30,,
SKU00429,84,52,11,1,2025-11-27,,
SKU00430,90,137,45,3,2025-11-28,,
SKU00431,52,53,12,2,2025-12-30,,
SKU00432,425,176,57,2,2025-12-11,,
SKU00434,114,54,16,1,2025-11-11,,
SKU00436,77,128,38,2,2025-11-27,,
SKU00437,6973,1643,538,30,2025-08-29,,
SKU00438,447,216,103,3,2025-12-15,,
SKU00439,236,135,40,3,2025-12-10,,
SKU00440,100,113,37,2,2025-12-27,,
SKU00441,191,77,37,1,2025-11-13,,
SKU00442,368,154,35,2,2025-12-15,,
SKU00443,326,157,57,3,2025-12-31,,
SKU00444,124,69,29,2,2025-11-26,,
SKU00445,0,1146,448,20,2025-10-05,,
SKU00446,274,178,47,3,2025-12-20,,
SKU00448,257,94,33,2,2025-11-22,,
SKU00449,7089,1529,590,26,2025-09-02,,
SKU00450,146,224,94,5,2025-12-30,,
SKU00451,208,83,39,2,2025-12-21,,
SKU00452,272,155,57,3,2025-12-20,,
SKU00453,98,104,26,2,2025-12-30,,
SKU00454,527,231,76,4,2025-12-21,,
SKU00455,60,36,17,1,2025-12-12,,
SKU00456,1,22,10,1,2025-11-22,,
SKU00457,171,214,84,3,2025-12-17,,
SKU00458,140,162,68,3,2025-12-17,,
SKU00460,125,100,20,1,2025-11-16,,
SKU00461,340,156,46,3,2025-12-03,,
SKU00462,6636,1405,474,27,2025-08-30,,
SKU00463,53,33,12,1,2025-11-04,,
SKU00464,95,35,10,1,2025-12-04,,
SKU00465,41,22,7,1,2025-11-21,,
SKU00466,6760,1467,539,27,2025-08-31,,
SKU00467,63,28,12,1,2025-12-09,,
SKU00469,223,147,66,2,2025-12-08,,
SKU00471,13,43,16,1,2025-11-07,,
SKU00472,72,76,31,2,2025-11-23,,
SKU00473,73,35,16,1,2025-12-06,,
SKU00474,102,123,50,3,2025-12-25,,
SKU00475,48,23,8,1,2025-12-21,,
SKU00476,428,151,61,2,2025-12-21,,
SKU00477,217,81,25,2,2025-12-12,,
SKU00478,157,145,63,2,2025-12-07,,
SKU00479,57,22,5,1,2025-12-09,,
SKU00480,47,42,13,1,2025-12-08,,
SKU00481,0,37,11,1,2025-11-03,,
SKU00482,14,22,5,1,2025-11-20,,
SKU00484,0,1408,469,25,2025-10-10,,
SKU00485,174,69,21,1,2025-11-29,,
SKU00486,212,80,23,2,2025-12-06,,
SKU00487,199,156,49,3,2025-11-12,,
SKU00488,334,234,86,5,2025-12-27,,
SKU00489,82,64,20,2,2025-12-02,,
SKU00490,369,229,81,3,2025-12-28,,
SKU00491,393,269,58,3,2025-12-31,,
SKU00492,211,198,84,3,2025-12-28,,
SKU00493,724,334,125,5,2025-12-23,,
SKU00494,176,199,67,3,2025-12-30,,
SKU00495,59,24,7,1,2025-12-05,,
SKU00496,93,71,21,2,2025-11-22,,
SKU00497,239,94,25,1,2025-12-17,,
SKU00498,8527,1806,589,29,2025-09-01,,
SKU00499,277,106,32,2,2025-12-11,,
SKU00500,100,1499,531,24,2025-11-08,,
SKU00501,7109,1565,572,26,2025-08-30,,
SKU00502,8794,2063,723,30,2025-08-30,,
SKU00503,40,36,11,1,2025-11-20,,
SKU00504,404,263,100,3,2025-12-02,,
SKU00506,102,1338,448,23,2025-12-15,,
SKU00507,8834,1906,654,30,2025-08-31,,
SKU00508,28,28,9,1,2025-11-04,,
SKU00509,489,266,64,3,2025-12-15,,
SKU00510,81,139,44,2,2025-11-29,,
SKU00511,367,225,63,3,2025-12-24,,
SKU00512,166,59,27,1,2025-12-22,,
SKU00513,127,76,22,1,2025-12-26,,
SKU00516,6036,1410,441,21,2025-12-11,,
SKU00517,191,105,29,3,2025-12-04,,
SKU00519,387,148,40,3,2025-12-11,,
SKU00520,104,84,36,2,2025-12-31,,
SKU00521,6344,1409,492,27,2025-09-02,,
SKU00522,79,66,31,1,2025-11-30,,
SKU00523,605,319,89,5,2025-11-27,,
SKU00524,8181,1784,582,30,2025-08-30,,
SKU00525,157,81,25,2,2025-12-18,,
SKU00526,241,127,29,2,2025-12-09,,
SKU00527,447,233,61,4,2025-12-08,,
SKU00528,246,88,27,1,2025-12-22,,
SKU00529,160,226,80,3,2025-12-19,,
SKU00530,350,211,66,4,2025-12-30,,
SKU00531,67,1482,568,23,2025-12-26,,
SKU00532,6217,1355,472,30,2025-08-23,,
SKU00533,164,64,22,1,2025-11-02,,
SKU00534,219,329,104,4,2025-12-28,,
SKU00535,6972,1557,594,27,2025-09-02,,
SKU00536,199,83,25,2,2025-12-31,,
SKU00537,45,63,31,1,2025-12-31,,
SKU00538,104,1099,359,20,2025-12-02,,
SKU00539,72,1312,457,24,2025-12-22,,
